sampleId	taxonId	weight
8532	3070	0.003910757
8532	6007	2.717975792
8532	6027	0.234645392
8532	6031	0.183805557
8532	6039	0.017598404
8532	6047	0.015643026
8532	6058	0.093858157
8532	6066	0.254199175
8532	6098	0.013687648
8532	6277	0.027375296
8532	10071	0.252243797
8532	10075	0.201403962
8532	10078	0.046929078
8532	10079	0.031286052
8532	10083	0.019553783
8532	10085	0.009776891
8532	10087	0.148608748
8532	10092	1.269040496
8532	10109	0.0899474
8532	10110	0.037152187
8532	10112	0.36174498
8532	10113	0.023464539
8532	10115	0.005866135
8532	10116	0.01173227
8532	10130	0.303083632
8532	10143	0.035196809
8532	10147	0.013687648
8532	10155	0.136876479
8532	10169	0.015643026
8532	10176	0.156430261
8532	10204	0.199448583
8532	10213	0.017598404
8532	10244	7.614242975
8532	10249	0.017598404
8532	10251	0.033241431
8532	10264	0.242466905
8532	10290	3.202909603
8532	10320	0.001955378
8532	10326	0.001955378
8532	10337	8.533270761
8532	10360	0.205314718
8532	10364	0.048884457
8532	10373	0.262020688
8532	10384	0.170117909
8532	10387	0.750865255
8532	10391	0.007821513
8532	10395	0.013687648
8532	10398	0.005866135
8532	10400	0.007821513
8532	10404	0.019553783
8532	10408	0.490799945
8532	10412	0.30503901
8532	10536	0.017598404
8532	10554	0.117322696
8532	10594	0.01173227
8532	10711	16.71457343
8532	10808	0.115367318
8532	10823	0.064527483
8532	10836	0.095813535
8532	10848	0.103635048
8532	10903	11.22973739
8532	10908	0.989421404
8532	10984	0.031286052
8532	11170	21.50133943
8532	11171	5.052697444
8532	11172	6.753876537
8532	11173	5.9384838
8532	11174	0.58661348
8532	11175	0.332414306
8532	11176	0.058661348
8532	11177	0.193582449
8532	11178	0.172073288
8532	11179	0.105590426
8532	11180	0.070393618
8532	11181	0.217046988
8532	11182	0.119278074
8532	11183	0.072348996
8532	11184	0.066482861
8532	11185	0.023464539
8532	11186	0.025419917
8532	11187	0.023464539
8532	11188	0.060616726
8532	11189	0.050839835
8532	11190	0.043018322
8532	11191	0.019553783
8532	11193	0.021509161
8532	11194	0.019553783
8532	11196	0.017598404
8532	11197	0.015643026
8532	11199	0.013687648
8532	11201	0.01173227
8532	11202	0.01173227
8532	11203	0.007821513
8532	11204	0.007821513
8532	11206	0.005866135
8532	11207	0.003910757
8533	3070	0.015212982
8533	6007	2.931034483
8533	6027	0.147058824
8533	6031	0.157200811
8533	6058	0.253549696
8533	6066	0.273833671
8533	10071	0.507099391
8533	10075	0.09127789
8533	10085	0.182555781
8533	10087	0.11663286
8533	10092	1.419878296
8533	10109	0.005070994
8533	10112	0.907707911
8533	10115	0.040567951
8533	10130	1.054766734
8533	10143	0.015212982
8533	10155	0.101419878
8533	10176	0.152129817
8533	10186	0.02535497
8533	10193	0.055780933
8533	10204	0.121703854
8533	10244	6.389452333
8533	10249	0.045638945
8533	10251	0.050709939
8533	10264	0.162271805
8533	10290	3.042596349
8533	10299	0.09127789
8533	10337	12.86004057
8533	10360	0.197768763
8533	10373	0.46653144
8533	10384	0.14198783
8533	10387	0.638945233
8533	10389	0.050709939
8533	10398	0.070993915
8533	10408	0.329614604
8533	10412	0.182555781
8533	10445	0.101419878
8533	10450	0.035496957
8533	10711	11.84584178
8533	10808	0.152129817
8533	10836	0.238336714
8533	10848	0.020283976
8533	10903	10.68965517
8533	10908	0.664300203
8533	11170	22.93103448
8533	11171	6.1663286
8533	11172	7.063894523
8533	11173	3.813387424
8533	11174	0.552738337
8533	11175	0.283975659
8533	11176	0.598377282
8533	11177	0.228194726
8533	11178	0.11663286
8533	11179	0.101419878
8533	11180	0.055780933
8533	11181	0.030425963
8533	11182	0.09127789
8533	11183	0.055780933
8533	11184	0.055780933
8533	11185	0.167342799
8533	11186	0.197768763
8533	11187	0.136916836
8533	11188	0.050709939
8533	11191	0.030425963
8533	11192	0.065922921
8533	11195	0.050709939
8533	11198	0.040567951
8533	11200	0.035496957
8533	11204	0.015212982
8533	11205	0.020283976
8534	6066	0.931044516
8534	10112	0.040733198
8534	10130	0.32586558
8534	10176	0.023276113
8534	10244	0.733197556
8534	10337	35.2982252
8534	10387	0.104742508
8534	10389	0.029095141
8534	10398	0.465522258
8534	10445	0.023276113
8534	10711	0.698283387
8534	10903	33.86674425
8534	10908	0.58772185
8534	11170	21.64678499
8534	11171	3.328484143
8534	11172	0.52371254
8534	11173	0.610997963
8534	11180	0.331684609
8534	11181	0.407331976
8534	11199	0.023276113
8535	6066	0.669153137
8535	10130	0.34006143
8535	10244	0.713032032
8535	10337	36.34269416
8535	10387	0.076788065
8535	10398	0.252303642
8535	10711	0.372970601
8535	10903	36.2220272
8535	10908	0.362000878
8535	11170	20.7656867
8535	11171	3.367705134
8535	11173	0.296182536
8535	11180	0.219394471
8536	6007	0.056221889
8536	6066	0.724637681
8536	10112	0.049975012
8536	10130	0.524737631
8536	10337	61.73163418
8536	10387	0.568465767
8536	10398	1.086956522
8536	10711	0.787106447
8536	10836	0.081209395
8536	10903	27.06146927
8536	11026	0.037481259
8536	11170	3.37956022
8536	11171	3.56071964
8536	11172	0.068715642
8536	11181	0.031234383
8536	11186	0.012493753
8536	11187	0.237381309
8537	6066	0.153413449
8537	10112	0.051137816
8537	10130	0.230120174
8537	10244	0.076706725
8537	10337	57.76016364
8537	10387	0.639222705
8537	10398	1.304014319
8537	10711	0.613653797
8537	10836	0.076706725
8537	10903	30.50370749
8537	11170	3.860905139
8537	11171	4.42342112
8537	11187	0.306826898
12958	3070	0.375087772
12958	5998	0.007555085
12958	6007	0.027553841
12958	6047	46.03402455
12958	10071	8.89E-04
12958	10105	11.22330166
12958	10182	1.137706987
12958	10242	0.079550606
12958	10251	0.027553841
12958	10252	0.01244367
12958	10258	0.079106189
12958	10264	0.001777667
12958	10266	0.005777418
12958	10272	0.123547868
12958	10273	0.005333002
12958	10290	0.25909499
12958	10328	0.180877634
12958	10337	0.092438693
12958	10360	0.451971877
12958	10373	8.601242589
12958	10382	6.063178291
12958	10384	8.549690241
12958	10903	0.240429484
12958	11128	4.399726239
12958	11136	0.004888585
12958	11185	0.318202423
12958	11368	4.886807043
12958	11822	1.083488139
12958	12328	0.221763979
12958	12446	0.419973868
12958	12540	0.717733119
12958	12541	0.427084537
12958	12545	3.642884443
12958	12550	0.296426
12958	12823	8.89E-04
12959	3070	0.314271406
12959	6026	7.26E-04
12959	6047	46.64571524
12959	10079	0.0021774
12959	10092	0.0029032
12959	10105	8.87508256
12959	10182	1.322407624
12959	10242	0.018145
12959	10272	0.167659803
12959	10290	0.284513605
12959	10328	0.118305402
12959	10337	0.063870401
12959	10360	0.350561406
12959	10373	5.635111301
12959	10382	6.822520123
12959	10384	8.417102752
12959	10903	0.119757002
12959	11128	6.553974118
12959	11185	0.494269809
12959	11368	5.276566095
12959	11822	1.406600425
12959	12328	0.227901204
12959	12446	0.422415608
12959	12540	0.738864413
12959	12541	0.291045805
12959	12545	5.166244493
12959	12550	0.259836405
12959	12823	0.0014516
12960	3070	0.279238069
12960	6026	6.83E-04
12960	6047	48.06513279
12960	10105	9.1786714
12960	10112	0.001365467
12960	10182	1.29446303
12960	10272	0.146105004
12960	10290	0.284017205
12960	10328	0.15839421
12960	10337	0.106506452
12960	10360	0.247832321
12960	10373	3.635556769
12960	10382	7.17826176
12960	10384	9.214173551
12960	10903	0.1379122
12960	11128	6.682597119
12960	11185	0.308595617
12960	11368	5.836690107
12960	11822	1.392093944
12960	12328	0.234177647
12960	12446	0.412371134
12960	12539	0.008192804
12960	12540	0.794701987
12960	12541	0.251928723
12960	12544	0.00751007
12960	12545	3.856079743
12960	12550	0.28674814
12961	6047	44.28608448
12961	10105	10.75408137
12961	10182	1.036537963
12961	10360	0.233221042
12961	10373	8.603265095
12961	10382	7.04845815
12961	10384	7.825861622
12961	11128	5.856439492
12961	11141	0.025913449
12961	11185	0.233221042
12961	11368	5.752785696
12961	11822	1.217932107
12961	12446	0.362788287
12961	12540	0.881057269
12961	12545	5.234516714
12961	12656	0.647836227
12962	10337	100
12963	4889	0.027539268
12963	5998	3.220127271
12963	6007	9.218769978
12963	6048	0.005901272
12963	6058	9.84E-04
12963	10071	0.060979808
12963	10073	0.593077808
12963	10075	0.028522813
12963	10076	0.046226629
12963	10079	0.542916999
12963	10080	0.447513106
12963	10085	0.215396418
12963	10092	0.039341811
12963	10103	0.030489904
12963	10108	0.015736725
12963	10110	0.039341811
12963	10119	0.001967091
12963	10136	0.036391176
12963	10138	0.022621542
12963	10169	0.025572177
12963	10193	0.083601349
12963	10213	0.025572177
12963	10242	2.915228232
12963	10243	0.097370983
12963	10245	0.211462237
12963	10251	9.454820847
12963	10252	1.654323173
12963	10256	0.075732987
12963	10258	22.47400982
12963	10264	0.046226629
12963	10266	10.14330255
12963	10273	0.118025434
12963	10304	0.011802543
