s_label	Kingdom	Phylum	Class	Order	Family	Genus	Species
Proteinivorax	Bacteria	Firmicutes	Clostridia	Proteinivoracales	Proteinivoracales fa	Proteinivorax	
Candidatus Jidaibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Proteinivoracales fa	Candidatus Jidaibacter	
Caldinitratiruptor	Bacteria	Firmicutes	Symbiobacteriia	Symbiobacteriales	Proteinivoracales fa	Caldinitratiruptor	
Thermogymnomonas	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Proteinivoracales fa	Thermogymnomonas	
Caldanaerovirga	Bacteria	Firmicutes	Thermovenabulia	Thermovenabulales	Proteinivoracales fa	Caldanaerovirga	
Fervidicola	Bacteria	Firmicutes	Thermovenabulia	Thermovenabulales	Proteinivoracales fa	Fervidicola	
Tepidanaerobacter	Bacteria	Firmicutes	Thermovenabulia	Thermovenabulales	Proteinivoracales fa	Tepidanaerobacter	
Thermosediminibacter	Bacteria	Firmicutes	Thermovenabulia	Thermovenabulales	Proteinivoracales fa	Thermosediminibacter	
Thermovenabulum	Bacteria	Firmicutes	Thermovenabulia	Thermovenabulales	Proteinivoracales fa	Thermovenabulum	
Thermovorax	Bacteria	Firmicutes	Thermovenabulia	Thermovenabulales	Proteinivoracales fa	Thermovorax	
Thioprofundum	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria or	Thioprofundaceae	Thioprofundum	
Coralloluteibacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Proteinivoracales fa	Coralloluteibacterium	
Hydrogenispora	Bacteria	Firmicutes	Limnochordia	Limnochordia or	Limnochordia fa	Hydrogenispora	
Paludibaculum	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae or	Acidobacteriae fa	Paludibaculum	
uncultured Halobacterales	Archaea	Thermoplasmatota	Thermoplasmatota cl	uncultured Halobacterales			
